time,x_pos,y_pos,frame,num_pulse,stim_duration,tank,date,order
477.8697,-26.231425,8.952236,,4,0,C,5/19/17,2
478.437,-31.9479,4.609072,,4,0,C,5/19/17,2
478.4536,-5.34225,36.163488,,5,0,C,5/19/17,2
478.8707,-35.26025,19.854464,,3,0,C,5/19/17,2
479.1377,-26.28485,5.495432,,3,0,C,5/19/17,2
545.0034,-0.9614,28.983972,,5,0,C,5/19/17,2
545.4039,-1.228525,35.188492,,4,0,C,5/19/17,2
545.5373,-16.1341,17.904472,,3,0,C,5/19/17,2
545.921,-14.2108,23.133996,,1,0,C,5/19/17,2
546.3548,-1.655925,17.461292,,2,0,C,5/19/17,2
546.7385,-4.647725,19.411284,,4,0,C,5/19/17,2
546.8386,-8.601175,21.71582,,3,0,C,5/19/17,2
547.5727,-15.0656,19.588556,,5,0,C,5/19/17,2
547.9064,-5.4491,4.697708,,2,0,C,5/19/17,2
548.8406,-11.592975,8.952236,,5,0,C,5/19/17,2
583.2083,-15.59985,27.211252,,3,0,C,5/19/17,2
583.6754,-4.220325,34.656676,,5,0,C,5/19/17,2
583.7422,-25.5369,32.706684,,3,0,C,5/19/17,2
585.3438,-13.302575,12.143132,,5,0,C,5/19/17,2
587.7795,-3.20525,29.69306,,3,0,C,5/19/17,2
588.6804,-12.82175,17.461292,,3,0,C,5/19/17,2
647.6393,-11.8601,28.718064,,4,0,C,5/19/17,2
648.3734,-24.949225,1.506812,,2,0,C,5/19/17,2
648.607,-5.288825,31.731688,,3,0,C,5/19/17,2
648.6403,-17.469725,34.213496,,6,0,C,5/19/17,2
651.0094,-16.02725,13.827216,,4,0,C,5/19/17,2
654.4795,-14.477925,13.561308,,2,0,C,5/19/17,2
699.94152,-32.856125,1.506812,,1,0,C,5/19/17,2
700.80905,-21.58345,16.131752,,4,0,C,5/19/17,2
701.60985,-14.157375,28.8067,,4,0,C,5/19/17,2
703.17808,-26.445125,36.606668,,5,0,C,5/19/17,2
706.41465,-15.59985,25.881712,,2,0,C,5/19/17,2
789.5143,-25.3232,2.570444,,2,0,C,5/19/17,2
789.9648,-36.32875,0.709088,,1,0,C,5/19/17,2
790.1817,-18.9122,19.411284,,2,0,C,5/19/17,2
790.2651,-16.187525,2.747716,,3,0,C,5/19/17,2
790.3485,-31.573925,3.456804,,2,0,C,5/19/17,2
790.4319,-11.75325,0.974996,,3,0,C,5/19/17,2
790.5153,-19.499875,8.686328,,9,0,C,5/19/17,2
790.6822,-33.4438,11.96586,,3,0,C,5/19/17,2
790.9324,-12.554625,15.599936,,3,0,C,5/19/17,2
791.0158,-5.288825,31.377144,,4,0,C,5/19/17,2
791.0325,-36.54245,4.87498,,1,0,C,5/19/17,2
791.0993,-9.135425,17.106748,,4,0,C,5/19/17,2
791.2661,-26.765675,0.265908,,1,0,C,5/19/17,2
791.533,-27.299925,35.188492,,1,0,C,5/19/17,2
791.5664,-30.612275,27.47716,,6,0,C,5/19/17,2
791.6665,-33.33695,20.474916,,3,0,C,5/19/17,2
791.7332,-30.452,8.952236,,1,0,C,5/19/17,2
791.7666,-27.2465,20.652188,,4,0,C,5/19/17,2
791.8,-27.2465,7.622696,,7,0,C,5/19/17,2
